date,open,high,low,close,volume,quote_volume
2022-04-08,1.089,1.1,1.019,1.024,88048109.3,93952128.1717
2022-04-09,1.025,1.047,1.021,1.045,49693999.1,51363885.971
2022-04-10,1.044,1.07,1.023,1.027,51995282.7,54357960.7317
2022-04-11,1.026,1.033,0.917,0.92,159034131.6,154099625.6197
2022-04-12,0.919,0.982,0.915,0.955,115179052.5,109425977.488
2022-04-13,0.954,0.981,0.934,0.974,83269578.6,79890065.9798
2022-04-14,0.974,0.985,0.923,0.933,84093379.2,80111053.2067
2022-04-15,0.933,0.959,0.929,0.956,42541809.7,40346404.5214
2022-04-16,0.955,0.962,0.937,0.951,36809858.4,34998947.7004
2022-04-17,0.95,0.963,0.912,0.914,42819442.0,40310611.7353
2022-04-18,0.914,0.939,0.874,0.937,118870539.6,107348406.1814
2022-04-19,0.936,0.957,0.927,0.952,75432689.7,70879191.9439
2022-04-20,0.952,0.976,0.93,0.937,93644303.6,89151003.9477
2022-04-21,0.937,0.971,0.891,0.91,105007978.4,98683813.6459
2022-04-22,0.91,0.924,0.891,0.906,82391016.7,74969570.3452
2022-04-23,0.906,0.913,0.881,0.886,34559067.5,30978218.3297
2022-04-24,0.886,0.899,0.877,0.886,49191017.0,43699800.4742
2022-04-25,0.885,0.9039,0.8261,0.8974,171944524.5,148027393.73861
2022-04-26,0.8975,0.903,0.815,0.8259,176710067.0,151087067.46235
2022-04-27,0.8258,0.8562,0.8187,0.8401,148780516.9,124685106.18968
2022-04-28,0.8401,0.8526,0.8258,0.8432,134885232.9,113478674.58921
2022-04-29,0.8432,0.8495,0.7891,0.8048,139320128.3,113905864.56138
2022-04-30,0.805,0.8179,0.7351,0.7556,147364161.34,115290631.74037
2022-05-01,0.7555,0.8002,0.7451,0.7895,137793227.3,106582681.5401
2022-05-02,0.7894,0.7968,0.7636,0.7809,128907016.8,100687424.37431
2022-05-03,0.7808,0.7994,0.7605,0.7711,96429722.5,75410127.88362
2022-05-04,0.7712,0.8992,0.7677,0.8985,256649760.0,213655126.17362
2022-05-05,0.8986,0.9058,0.7716,0.7884,364970629.3,304513975.74832
2022-05-06,0.7884,0.7997,0.7625,0.7832,244058670.2,191381224.54187
2022-05-07,0.7832,0.7858,0.7467,0.7604,126808896.0,97951871.70325
2022-05-08,0.7605,0.7663,0.7254,0.7403,175139530.39,130209850.910652
2022-05-09,0.7404,0.7542,0.5976,0.6019,472342566.94,315923785.342392
2022-05-10,0.6025,0.701,0.5833,0.6286,436850308.6,283217801.10111
2022-05-11,0.6286,0.6631,0.4727,0.5187,623456066.51,361445760.601075
2022-05-12,0.5186,0.5508,0.4019,0.4733,815465798.46,375840228.055986
2022-05-13,0.4733,0.6094,0.4689,0.529,458070252.8,253922648.53897
2022-05-14,0.5289,0.5572,0.4888,0.5372,253441055.6,132311337.3741
2022-05-15,0.5374,0.5999,0.5148,0.5981,195264575.4,108585670.20941
2022-05-16,0.5982,0.6146,0.5444,0.5569,280903516.1,159793334.64289
2022-05-17,0.5569,0.5999,0.5511,0.5778,178084619.6,102370872.2906
2022-05-18,0.5776,0.5863,0.5026,0.5059,203077123.9,109204097.70007
2022-05-19,0.5059,0.5467,0.4917,0.5334,205816006.7,107511001.865
2022-05-20,0.5334,0.545,0.5012,0.5162,174293262.6,91285754.18405
2022-05-21,0.5162,0.5388,0.5086,0.5286,85487336.0,45014383.53085
2022-05-22,0.5286,0.5488,0.5219,0.5416,104514258.8,56137371.78749
2022-05-23,0.5416,0.5595,0.5039,0.5134,189427959.8,101951558.22317
