date,open,high,low,close,volume,quote_volume,type,candle_body,high_low_range,MA_7,MA_30,moving_1d,volatility_7,volumelast7,z_score,tomorrow_close,tomorrow_return
2021-09-19,0.2414,0.2415,0.2307,0.2331,486273037.0,115252029.3655,DOGE,-0.008300000000000002,0.010800000000000004,0.24004285714285717,0.27311033333333334,-3.3982594280977976,3.0820719681111557,0.5932508537140251,-1.4041426263971688,0.2086,-10.510510510510509
2021-09-20,0.2331,0.2335,0.1988,0.2086,1842218251.9,394048468.11675,DOGE,-0.024499999999999994,0.03470000000000001,0.23615714285714287,0.2695096666666667,-10.510510510510509,4.508040005444799,2.0195198526633455,-2.057068658556261,0.2009,-3.691275167785241
2021-09-21,0.2086,0.2185,0.1976,0.2009,1475472637.8,304987868.418026,DOGE,-0.007700000000000012,0.020900000000000002,0.23048571428571427,0.2657173333333333,-3.691275167785241,4.240645521217669,1.4226050314343246,-2.0986875651315855,0.2245,11.747137879542066
2021-09-22,0.2008,0.2304,0.1999,0.2245,1505717159.7,322392479.6739,DOGE,0.0237,0.0305,0.22718571428571427,0.26260633333333333,11.747137879542066,6.705648129410675,1.2946641525516995,-1.264054445770545,0.2246,0.04454342984409309
2021-09-23,0.2244,0.2273,0.2175,0.2246,809134784.0,180164367.1764,DOGE,0.00020000000000000573,0.009800000000000003,0.22472857142857144,0.26047166666666666,0.04454342984409309,6.698544756118374,0.6921452264716592,-1.175953748887646,0.2091,-6.901157613535168
2021-09-24,0.2245,0.2291,0.1965,0.2091,1446332143.9,303553065.915496,DOGE,-0.015399999999999997,0.03259999999999999,0.2203,0.25769,-6.901157613535168,7.073668613325817,1.2503555296545805,-1.5537153137765243,0.2083,-0.3825920612147275
2021-09-25,0.2092,0.214,0.2043,0.2083,648108334.0,135245750.1268,DOGE,-0.0008999999999999841,0.009699999999999986,0.2155857142857143,0.2556866666666667,-0.3825920612147275,7.0347694968669785,0.5523702348507641,-1.4595815406437933,0.205,-1.5842534805569009
2021-09-26,0.2084,0.2089,0.194,0.205,778024870.7,157519709.582092,DOGE,-0.003400000000000014,0.014899999999999997,0.21157142857142855,0.2527066666666667,-1.5842534805569009,7.002439724821244,0.6403490717888177,-1.4504858094909083,0.1997,-2.5853658536585367
2021-09-27,0.205,0.2093,0.1996,0.1997,447272392.0,91574177.3443,DOGE,-0.005299999999999999,0.009700000000000014,0.21030000000000001,0.24982999999999997,-2.5853658536585367,5.873429182844874,0.44034870612431815,-1.4900489466894047,0.1965,-1.6024036054081026
2021-09-28,0.1998,0.2027,0.196,0.1965,478010126.0,95483638.9411,DOGE,-0.0032999999999999974,0.006699999999999984,0.20967142857142856,0.24701666666666666,-1.6024036054081026,5.734442479610416,0.5474055207019644,-1.4653530238157035,0.1987,1.119592875318056
2021-09-29,0.1966,0.2043,0.1946,0.1987,508197881.0,101260063.7077,DOGE,0.0020999999999999908,0.009700000000000014,0.20598571428571427,0.2445733333333333,1.119592875318056,2.600894877214947,0.6954700214440704,-1.3020527067644538,0.2042,2.767991947659791
2021-09-30,0.1987,0.206,0.1976,0.2042,525345573.0,106147967.7293,DOGE,0.005500000000000005,0.00839999999999999,0.20307142857142857,0.24211,2.767991947659791,3.0670654063468126,0.7611668945153363,-1.0712151660131592,0.2226,9.01077375122429
2021-10-01,0.2043,0.2253,0.2018,0.2226,1029403020.0,219547713.5179,DOGE,0.018299999999999983,0.023499999999999993,0.20500000000000002,0.23972,9.01077375122429,3.989997759288348,1.6323583835931685,-0.5014248050658818,0.2185,-1.8418688230008953
